site,mean_MMN_delay,mean_FACE_delay,mean_VEP_delay
hbcdsite64,1.65966206762208,12.005852535367,11.8827447295189
hbcdsite48,2.89200777342018,17.2159117702283,17.3134206292721
hbcdsite04,2.29830276975031,11.1639233659286,11.169221252203
hbcdsite07,1.91953621849057,23.3940342441201,23.2466732939849
hbcdsite53,2.10232245909669,11.7147118193314,11.7263282564553
hbcdsite20,2.49595464429887,11.3412834689098,21.7510709682336
hbcdsite52,2.18559067690748,20.4059301494536,20.5790810286999
hbcdsite69,2.42278553091281,13.3762959390879,13.3716585114598
hbcdsite06,1.09279408179659,23.5923584550619,24.0375716239214
hbcdsite93,2.39044512416474,13.2331307977438,13.4701374918222
hbcdsite72,2.54637065868374,9.11329986339869,9.03435051441193
hbcdsite09,2.43659286216639,17.8922787308693,17.7841186523438
hbcdsite78,2.60106524948257,13.2165085524321,13.4662922937423
hbcdsite43,2.16575910458863,15.9234954044223,15.7619928941131
hbcdsite79,1.93505094147872,15.3058413416147,15.2611825615168
hbcdsite02,2.68619513136336,11.3903590948275,NA
hbcdsite77,2.30399782504058,12.4826756863057,12.471235384888
hbcdsite70,2.20793658716633,8.5494303707955,8.48891428456857
hbcdsite84,3.49750879223155,11.4899942917483,11.5979196769851
hbcdsite27,2.38436619113053,22.5957300513983,22.750535979867
hbcdsite29,2.40314012158727,26.1265933513641,26.9076861441135
hbcdsite57,2.6237141380067,15.7982697710395,16.0706439055502
hbcdsite26,2.99481071875554,14.7008089630236,14.9254633912018
hbcdsite42,2.69589078090494,12.5759929418564,12.6126352697611
hbcdsite35,2.1411542030493,17.4530931466,17.5922631751746
